Complexity_level,text
L-X,How a shadow is made a light nose on a big object 
L-X,Rainbows are when light goes through rain droplets that act like prisms 
L-X,The order of colors in the rainbow goes Red Orange yellow Green Blue Indigo Violet its in that order because of the light waves red is the longest light wave and violet is the shortest light wave 
L-X,This is how we see different colored objects when you see a yellow flower it is because all the primary colors of light hit it red and green light bounce off of the flower into your eye 
L-X,its the same with magenta except blue  red nonces off 
L-X,its also the same with cyan except blue  green light bounces off 
L-X,Shadows are made when light hits an opaque object and so then it makes shadow The shadow is allays attacher to a opaque object 
L-X,It depends on the time of day for the size of the shadow 
L-X,a convex lens also helps focus the light  
L-X,It dost focus the light  
L-X,If you shine a light through a stem of water you will see a rainbow in the water 
L-X,Wen you see a red rose the blue and green are being absorbed and the red will be reflected and you see a red rose 
L-X,Wen you look at a yellow rose the to colors that are reflected are red and green they make yellow The blue is absorbed and you cant see it 
L-X,Other Lights our when the sun boards the earth with tiny particles of belletristic they hit the earths attester the air and electricity makes it glow 
L-X,A liner elicits is when the sun is behind the earth and the moons in front of the earth 
L-X,Light travels in inviable waves so it acts like a straight line but is actually waves 
L-X,Light wave length is shorter then ultra violet waves which are inviable to our eyes so some people still think that light travels in a straight line It was proved by many people a long time ago 
L-X,A shadow is made by an opaque object nontransparent object and when you shine the light through the opaque object you can see a black spot that black spot is a shadow 
L-X,Solar panels are usably used in places where they want to absorb light what a solar panel is basically is a thing that absorbs light stead of reflecting light so it can give off light later on 
L-X,You have three eye cones in your eyes to SEe different couplers like I said before the easy way to SE many couplers is you need blue red and green so they are blue red and green 
L-X,glowing things is that it needs to absorb light to work 
L-X,A shadow is a reflection of light hitting an object To see a shadow you need a source of light like the sun or a flash light 
L-X,A solar eclipse is when the sun over laps the moon band then the sun and the moon go red 
L-X,This is how a shadow is made  a shadow is made when light hits an object 
L-X,This is why how you make a rainbow with a prism you get a prism and shine a light though the prism and then you will see a prism rainbow
L-X,how we make a rainbow with rain  After it rains you see a rainbow its made by the sun light shining though the water and it makes a rainbow 
L-X,Solar panel absorb light and change it to solar energy 
L-X,My theory about how light travels is that light travels in ripple waves 
L-X,My theory about all we see is light is that every thing we see is light 
L-X,the way a shadow is made is that you are covering part of where the light hits 
L-X,My understanding of rainbows is that the reason that there always in the same order is that Red has the longest light wave and violet the shortest 
L-X,Anything that isn't the same color gets absorbed the same color is always reflected 
L-X,Rainbows are sometimes made when leftover raindrops The raindrops acts as prisms 
L-X,other things make things glow in the dark like electricity heat and friction 
L-X,If you looked into a concave mirror you would see behind you and a lot of light because the light goes in then bounces until it shoots out the way it came 
L-X,I learned that a solar eclipse occurs when the moon blocks the sun which casts a huge shadow over the earth 
L-X,A shadow is made by light hitting you and the light is big so it gets around the person and makes a shadow 
L-X,I also learned that there are things called atoms and electrons that can pass through wires and make electricity 
L-X,The northern lights happen when the sun makes tiny bits of electricity go down to earth 
L-X,If you look at a yellow flower the color that would absorb is blue and the colors that would bounce into your eyes are red and green 
L-X,If you look at a red rose blue and green are absorbed into your eyes and red is reflected 
L-X,When you see a rainbow  you only see half of it A rainbow is actual a circle but the clouds are blocking the half of the rainbow that you don't see 
L-X,If you look at a red rose in green light the rose doesn't absorb the green light so the rose appears black 
L-X,Fluorescence objects are glow in the dark objects A sea animal that lives under the water is glow in the dark and glow in the dark star stickers and bandages Fluorescence objects are made be friction like two rocks rubbing together 
L-X,A lunar eclipse is when the moon covers the sun Long time ago a man predicted that there would be a lunar eclipse and he was right 
L-X,A Solar eclipse is when the sun covers the moon 
L-X,My understanding about Shadows is that when light hits you it creates a shadow My theory is that the light hits you and goes around you to make a shadow Heres a picture to make it more simple 
L-X,Also they react like chemiluminescence witch is a process of changing chemic energy into light energy 
L-X,Solar panels absorb sun light rays and turn them into energy 
L-X,To reflect colors the object has to be the same color to reflect the light colorTo absorb light color the object has to be not the same color to be absorb 
L-X,I think that light travels in straight lines and some other people think that light travels in waves I also think that light is a wave but it travels in straight lines I think light travels in straight lines in two ways 
L-X,A rainbows are made by raindrops that act like a prism that make the rainbow 
L-X,If you look at a green apple for a long time the green cone gets tired but the red and blue are not tired and together red and blue make purple and purple is the opposite color of green 
L-X,Most things that glow have some fluorescent paint on them This paint absorbs light and then glows until it has no more light absorbed in it 
L-X,A shadow is made when darkness made when light shines on a opaque object  
L-X,A liner eclipse is when the earth is between the sun and the moon 
L-X,A solar eclipse is when the moon is between the sun and the earth 
L-X,A shadow is made when a light source hits an object 
L-X,A lunar eclipse is when the sun foe between the moon and casts a shadow 
L-X,A solar eclipse is when the sun goes in front of the moon 
L-X,I need to understand why you can get two different kinds of shadows one that is larger than you and one that is smaller than you my theory of what happens is that it appends on the time of day 
L-X,What helps things that glow are fluorescence pink and other colors 
L-X,If your body wants to see a red rose the red is bounced into your eyes and the other colors are absorbs 
L-X,If your body wants to see a yellow green and red is bounced into you eyes and the blue is absorbed 
L-X,Solar panels takes in light and makes it in to energy 
L-X,My understanding shadows starts at the shadow view if a light sours hits a optic nontransparent object which creates a shadow Such as a person is standing behind a light sours and a shadow papers behind them 
L-X,Rain can can be used as prisms thats why theres a rainbow after it rains 
L-X,A solar panel absorbs light and uses it as energy 
L-X,Fireflies produce light from their abdominals because of a chemical reaction caused by Lucifer and Lucifer This is called photoluminescence 
L-X,This is how a glow stick works When you snap a glow stick it makes a little hole and to chemicals collide and then they glow This is called chemiluminescence 
L-X,A shadow is made by standing in front of a light source and then the place you block up is where the shadow is made 
L-X,A solar eclipse is when the moon passes in between the sun and the earth causing a big shadow 
L-X,I thought glow in the dark could only happen with one thine but then I read Yasmin note and saw that it happens with three things heat friction and electricity 
L-X,In the shadows view I learned The closer the sun is to you the stronger it is 
L-X,Also I learned That your body blocked the sun and that creates a shadow The sun goes through the ground and makes a shadow for a root 
L-X,a rainbow in rain is made because its so damp outside 
L-X,We see a red rose because The primary colors go to the rose and green and blue get absorbed and red bounces off 
L-X,we see a yellow rose because all the secondary colors go at the rose the magenta and cyan gets absorbed but yellow bounces off 
L-X,A shadow is the darkness left behind when a light sours shines on a nontransparent object 
L-X,A solar eclipse is when the moon blocks the sun light from coming to the earth 
L-X,A lunar clips is when the sun blocks the moons light from going to earth 
L-X,You can make a rainbow with a prism by outing light thought a prism of rain Rain is what make the rainbow in the sky 
L-X,Solar panels are panels that use light to make electricity 
L-X,All we see is light Without light we can not see 
L-X,We can see a yellow rose because red blue and green are going to the flower Red and green bounce into your eyes but blue absorbs 
L-X,You can see a red rose because red bounces of and goes into your eyes blue and green get absorbed 
L-X,When you see a red flower the red light bounces off the flower in to our eyes and the green blue gets absorbed 
L-X,When you shine a light through a glass prism it ell make a rainbow on the surface it needs to be white light of the colors light wail be to strong and wont split up into the rainbow
L-X,This is how absorbing and reflecting works the colors that make the object will be reflected and the leftover color will be wasted not used 
L-X,A shadow is mad by an object in front of a light stream The light cant go around and then no light git be hind the objects and its dark 
L-X,A solar eclipse is an eclipse of the sun It occurs when the moon is located between the sun and the earth The moon blocks the sunlight coming to the earth 
L-X,My theory is that light travels in waves I leaned this by doing an ensnarement the end resale was a wave pattern Like doping to pebbles in a pond and the reason is like light 
L-X,Most glowing things are painted with a layer of fluorescent paint this paint absorbs light and when it is dark the absorbed light would unleash the light that it saved until its empty and has no more light 
L-X,but that doesn't explain why sometimes there are rainbows after rain storms or when it rains the answer to this is raindrops act as prisms but when I did a experiment at my house i filled a glass of water and turned out the lights I didn't see even a tiny outline of a rainbow 
L-X,There are two types of eclipses The rift one is called a solar eclipse Its when the moon goes in front of the earth and behind the sun which casts a shadow upon earth As I said before an opaque object like the moon and the sun is the light source it makes a shadow 
L-X,a lunar eclipse is the opiate of a solar eclipse a lunar eclipse is when the earth goes in front of the moon the earth is also opaque but the shadow this time is bigger 
L-X,If light hits a red rose red gets reflected and blue and green get absorbed thats why we see red 
L-X,but with a yellow rose green and red get reflected and blue gets absorbed because red and green make yellow 
L-X,A lunar eclipse is when the moon over laps the sun and blackens out the sky so no one ca see the sun and the sun and the moon turn black 
L-X,What is absorbing My understanding is that when white light hits a red object all the colors that make white  Red Green and Blue blue and green are reflected and red is absorbed 
L-X,What is Reflecting My understanding is like before we have a red dress when white light hits the red dress blue and green are reflected and red is absorbed Why I think there reflected is because its not the same color 
L-X,this is how we can see a red rose white light hits the rose red is reflected and blue and green are absorbed and the rose papers upside down and back wards but your brain turns it to the right way 
L-X,this is how we see a yellow rose the white light hits the rose green and red are reflected and blue is absorbed why green and red are reflected incited of just one color is because yellow is a secondary color and are brain sees the rose upside down and backwards 
L-X,New information A lunar eclipse is when the earth is between the sun and the moon Since the earth is in front of the moon it castes a shadow over the moon making it in total darkness 
L-X,A solar eclipse is when the moon casts a show over the earth and its just like a lunar eclipse precept what I just told you 
L-X,The way we see a red rose is that white light contains the primary coleus of light red blue and green What happens is that the red light hitting a red rose the red light bounces off and into our eyes and the other colors get absorbed 
L-X,With a yellow ors its pretty much the same thing but 2 colors don't get absorbed they mix and bounce off as one ray 
L-X,The northern lights are cosed by partials from the sun The particles are so small you couldn't see them How they acute is when the particles hit highest thing of the earths atmosphere they electrify the air making it glow 
L-X,Diffused reflection is when a ray of light comes and hits something like bumpy tinfoil The light comes and egos everywhere because it has more than one thing to bounce off of it It egos up down right left because when its bumpy it goes like that because of different bumps 
L-X,Convex mirrors are used in stores They let you see around corners and stuff ltd shaped like a ball with the top cut off the way it lets you see around corners is it does everything but catch light so it bounces off as an angle 
L-X,All we see is light the way I can prove it is that the same color light bounces off things that are supposed to be that color Then the color bounces into your eye Three primary colors are in white light so if you mix those you'll get any color 
L-X,I just learned that a lunar eclipse occurs when the earth is between the sun and the moon The earth is in front of the moon and behind the sun which makes a huge shadow over the moon 
L-X,This is how rainbows are made with rain The sky is still moist and there are drops in the air which can be used like prisms so if the left over raindrops can be used like prisms then the light can shine through it to make a rainbow 
L-X,Here is how solar panels work Dull dark surfaces do not reflect much light The dark surfaces absorb the suns rays and turn the rays into thermal energy The thermal energy is turned into heated water and then it is pumped into a storage tank and goes out through a fan That means that black attracts heat 
L-X,I think light travels in a straight line because the shadows prove that they travel straight or else the shadows would be wobbly 
L-X,this is my picture of a light bulb a light bulb is made out of glass and artificial light The glass is to couscous the light to the spot you would like it and the artificial light is from the energy in the air that comes from your wall When you plug in a light a computer or anything that has a plug the energy goad through whores that travel over our hes and under us These 2 things are all plugd into a wall 
L-X,The picture I drew was making a rainbow out of a prism This picture is with two prisms this is how it works If you shine a light on a prism a rainbow will appear but if you put another prism in front of the other prism the light will turn white again This is How to make white light through a viable spectrum 
L-X,If you look at a red rose in magenta light the magenta light red and blue hits the red surface The color red is reflected But the color blue is absorbed then the rose appears red 
L-X,A solar eclipse is an eclipse of the sun It occurs when the moon is located between the sun and the earth The moon blocks the sunlight coming to the earth 
L-X,My understanding about a Lunar eclipse is that when the Earth is between the Sun and the Moon The Sun casts a shadow over the moon called a lunar eclipse 
L-X,My theory's that light travels in a wave line because if you drive behind a bus you'll see heat that looks wave 
L-X,Shadows A shadow is an inexact reflection of your body that shows on a very sunny day when you are outside You see your shadow when you happen to be outside and you look down at the ground Also your shadow touches you wherever you touch the ground 
L-X,Also you can see a green object because white light shines on that object white light has red orange yellow green blue indigo and violet in it and the object absorbs all the colors except green which is reflected into the eyes of the person that is looking at the object 
L-X,We see a red rose when there is a flashlight or another light source that will shine on the rose and absorb the green and blue light and reflect the red light into our eyes 
L-X,and how we see a yellow rose is that it is the same but the red and green light are reflected and blue is absorbed 
L-X,How do you make a rainbow with rain The sky is still wet with raindrops and the sunlight shines through the drops and a rainbow forms in the sky Make a rainbow with a prism exactly the same way 
L-X,The northern lights are also called the aurora Borealis and they are lights in the sky that are mixtures of colors that are seen only in the northern parts of the world and that is why they are called the northern lights 
L-X,The law of reflection on a flat mirror is when the incident ray goes on the mirror and makes the angle of incidence There is an invisible line between the angle and ray of incidence and the angle and ray of reflection The reflection ray is the reflection of the incident ray 
L-X,The Northern Lights are ribbons of red pink and ghostly green lights that dance and shimmer for hours across the sky They occur when the sun bombards earth with tiny particles of electricity too small for us to see When these particles hit the highest part of the earths atmosphere they electrify the air and make it glow 
L-X,Why are Northern Lights different colors Each gas in earths atmosphere glows with its own color when it becomes charged with electricity Oxygen gives off an eerie green glow nitrogen glows red and neon gas turns pink 
